Human Uniprot	Human Ensembl	Mouse Uniprot	Mouse Ensembl
Q9NP62	ENSG00000137270	P70348	ENSMUSG00000023333
Q92733	ENSG00000143294	Q9EQC8	ENSMUSG00000004895
Q9BZP6	ENSG00000134216	Q91XA9	ENSMUSG00000062778
P59046	ENSG00000142405	E9Q5R7	ENSMUSG00000078817; ENSMUSG00000097297
P0C2L3	ENSG00000196990	Q8BUM6	ENSMUSG00000009216
P32881	ENSG00000120242	Q61718	ENSMUSG00000096011
Q17RW2	ENSG00000171502	Q30D77	ENSMUSG00000028197
Q96GM8	ENSG00000132773	Q9D2E2	ENSMUSG00000028688
P09681	ENSG00000159224	P48756	ENSMUSG00000014351
C9JLJ4	ENSG00000232399	H9KUY1	-
Q8N9F7	ENSG00000153982	Q9CRY7	ENSMUSG00000061666
Q13503	ENSG00000152944	Q9CQ39	ENSMUSG00000030291
P82675	ENSG00000144029	Q99N87	ENSMUSG00000027374
Q92922	ENSG00000173473	P97496	ENSMUSG00000032481
Q9NQH7	ENSG00000196236	B7ZMP1	ENSMUSG00000022401
Q7Z4T8	ENSG00000106648	Q9D4M9	ENSMUSG00000028938
Q9BYQ5	ENSG00000198090	B1AQA7	ENSMUSG00000078668
Q8IUC6	ENSG00000127666	Q80UF7	ENSMUSG00000047123
Q9H611	ENSG00000140451	Q80SX8	ENSMUSG00000041064
Q69YI7	ENSG00000171169	Q6PFD7	ENSMUSG00000039164
P78527	ENSG00000253729	P97313	ENSMUSG00000022672
Q9BVK6	ENSG00000184840	Q99KF1	ENSMUSG00000058569
P18031	ENSG00000196396	P35821	ENSMUSG00000027540
Q14512	ENSG00000137440	O70514	ENSMUSG00000048373
P19388	ENSG00000099817	Q80UW8	ENSMUSG00000004667
Q8TBA6	ENSG00000066455	Q9QYE6	ENSMUSG00000021192
P30953	ENSG00000180016	E9Q4M1	ENSMUSG00000063881
Q8WXX0	ENSG00000118997	E9Q0T8	ENSMUSG00000096141
Q9UBE0	ENSG00000142230	Q9R1T2	ENSMUSG00000052833
P22059	ENSG00000110048	Q3B7Z2	ENSMUSG00000024687
O14639	ENSG00000099204	Q8K4G5	ENSMUSG00000025085
Q6UXP7	ENSG00000152380	D3YUE4	ENSMUSG00000034334
Q14532	ENSG00000108759	Q62168	ENSMUSG00000046095
P39877	ENSG00000127472	P97391	ENSMUSG00000041193
B2RTY4	ENSG00000066933	Q8C170	ENSMUSG00000039585
Q9H6F5	ENSG00000110104	Q9JJ89	ENSMUSG00000024732
Q86Y78	ENSG00000187123	Q8BPP5	ENSMUSG00000050447
O60381	ENSG00000105856; ENSG00000283847	Q8R316	ENSMUSG00000002996
Q16623	ENSG00000106089	O35526	ENSMUSG00000007207
Q9P2F8	ENSG00000116991	Q80TE4	ENSMUSG00000001995
P22301	ENSG00000136634	P18893	ENSMUSG00000016529
Q9NR45	ENSG00000095380	Q99J77	ENSMUSG00000028334
A6NGU5	ENSG00000197421	Q60928	ENSMUSG00000006345
Q7Z6B0	ENSG00000123106	Q9D8L5	ENSMUSG00000030301
Q7L2K0	ENSG00000162062	Q6GQV0	ENSMUSG00000024118
P01111	ENSG00000213281	P08556	ENSMUSG00000027852
Q9BXS6	ENSG00000137804	Q9ERH4	ENSMUSG00000027306
Q6QN14	ENSG00000205946	Q7M764	ENSMUSG00000043073
O95342	ENSG00000276582; ENSG00000073734	Q9QY30	ENSMUSG00000027048
O60739	ENSG00000114784	Q9CXU9	ENSMUSG00000006941
Q8IYS1	ENSG00000146281	A3KG59	ENSMUSG00000054659
Q9C098	ENSG00000163673	Q8BWQ5	ENSMUSG00000032500
P41594	ENSG00000168959	Q3UVX5	ENSMUSG00000049583
Q9UK58	ENSG00000163660	Q52KE7	ENSMUSG00000027829
Q12830	ENSG00000171634	A2A654	ENSMUSG00000040481
Q9UJA3	ENSG00000125885	Q9CWV1	ENSMUSG00000027353
Q8WUA2	ENSG00000131013	Q9CXG3	ENSMUSG00000015757
Q9H1Z9	ENSG00000182612	Q8VCF5	ENSMUSG00000039691
Q8WUX2	ENSG00000143942	Q9CQG1	ENSMUSG00000020309
P31151	ENSG00000143556	Q6S5I3	ENSMUSG00000063767
Q8NGL0	ENSG00000205030	A2AVC4	ENSMUSG00000075143
P20248	ENSG00000145386	P51943	ENSMUSG00000027715
Q16385	ENSG00000268447; ENSG00000241476	Q8C5Z3	ENSMUSG00000023165
Q8TAP9	ENSG00000168303	J3QQ10	ENSMUSG00000094649
B2RU33	ENSG00000183206	Q05AC5	ENSMUSG00000027157
Q93063	ENSG00000151348	P70428	ENSMUSG00000027198
Q96RT7	ENSG00000128159	G5E8P0	ENSMUSG00000051786
Q68EM7	ENSG00000140750	Q3UIA2	ENSMUSG00000030766
Q9Y6I8	ENSG00000101417	Q9JJW0	ENSMUSG00000000876
Q5HYK3	ENSG00000110871	Q9CXI0	ENSMUSG00000041733
Q6U7Q0	ENSG00000181315	Q8BZ89	ENSMUSG00000046351
P28161	ENSG00000213366	Q80W21	ENSMUSG00000004035
Q9BT23	ENSG00000136490	Q8BGB5	ENSMUSG00000040699
Q6IEU7	ENSG00000254834	A2ASU6	ENSMUSG00000050128
O94766	ENSG00000149541	P58158	ENSMUSG00000071649
Q9NZN5	ENSG00000196914	Q8R4H2	ENSMUSG00000059495
Q9ULY5	ENSG00000166523	Q9R0Q8	ENSMUSG00000030142
Q7RTT6	-	A2AHC8	-
Q96JQ5	ENSG00000110079	Q9ES61	ENSMUSG00000056290
Q12887	ENSG00000006695	Q8CFY5	ENSMUSG00000042148
Q5T160	ENSG00000146282	Q3U186	ENSMUSG00000028292
Q9H2A3	ENSG00000178403	P70447	ENSMUSG00000027967
O75038	ENSG00000149527; ENSG00000276429	A2AP18	ENSMUSG00000029055
Q9H270	ENSG00000280616; ENSG00000160695	Q91W86	ENSMUSG00000032127
Q6ZNE9	ENSG00000188282	Q3TYX8	ENSMUSG00000061815
O60258	ENSG00000158815	P63075	ENSMUSG00000022101
P61599	ENSG00000173418	P61600	ENSMUSG00000002728
Q86YW9	ENSG00000144893	Q8BQM9	ENSMUSG00000056476
O95393	ENSG00000163217	Q9R229	ENSMUSG00000030046
Q9BQ66	ENSG00000263236; ENSG00000213416	B1AQA9	ENSMUSG00000078262
Q9UG56	ENSG00000241878	F6TVX7	-
Q16798	ENSG00000151376	Q8BMF3	ENSMUSG00000030621
O60243	ENSG00000136720	Q9QYK5	ENSMUSG00000045216
A6NDI0	ENSG00000182053	P86448	ENSMUSG00000079162
A0PJM3	-	J3QNS6	-
Q0WX57	ENSG00000230430; ENSG00000231637; ENSG00000232264; ENSG00000229579; ENSG00000235780; ENSG00000231051; ENSG00000228856	Q61068	ENSMUSG00000054568
Q96SB8	ENSG00000163029	Q924W5	ENSMUSG00000020608
Q8IY92	ENSG00000188827	Q6P1D7	ENSMUSG00000039738
Q9BY64	ENSG00000135226	Q8R084	ENSMUSG00000035836
Q9NUU6	ENSG00000145569	Q3TVP5	ENSMUSG00000056069
Q14149	ENSG00000159256	F7BJB9	ENSMUSG00000039456
Q92882	ENSG00000134996	Q62422	ENSMUSG00000024725
Q4AC94	ENSG00000168014	Q52KB6	ENSMUSG00000047248
Q9H1H9	ENSG00000137177	Q9EQW7	ENSMUSG00000021375
Q8TER0	ENSG00000162804	Q70E20	ENSMUSG00000047793
P28067	ENSG00000243719; ENSG00000243215; ENSG00000241394; ENSG00000242685; ENSG00000242361; ENSG00000204257; ENSG00000239463; ENSG00000243189	P28078	ENSMUSG00000037649
P52799	ENSG00000125266	P52800	ENSMUSG00000001300
Q96JQ5	ENSG00000110079	Q99N05	ENSMUSG00000024678
Q5BKY9	ENSG00000234545	Q9CVI2	ENSMUSG00000058503
Q9BRQ6	ENSG00000159685	Q91VN4	ENSMUSG00000030086
P51116	ENSG00000129245	Q9WVR4	ENSMUSG00000018765
Q96A56	ENSG00000164938	Q9QXE4	ENSMUSG00000028211
P35228	ENSG00000007171	P29477	ENSMUSG00000020826
O43929	ENSG00000115947	O88708	ENSMUSG00000026761
Q3YBR2	ENSG00000154144	Q3UB74	ENSMUSG00000011114
Q15751	ENSG00000103657	E9PZP8	ENSMUSG00000038664
Q9H336	ENSG00000121005	Q8CGD2	ENSMUSG00000025776
Q8N884	ENSG00000164430	Q8C6L5	ENSMUSG00000032344
Q8WVI0	ENSG00000168273	Q8C1Q6	ENSMUSG00000058351
Q7RTT4	-	A2AHC7	ENSMUSG00000079699
P29320	ENSG00000044524	P29319	ENSMUSG00000052504
Q5W5W9	ENSG00000182698	P47939	ENSMUSG00000033061
P98187	ENSG00000186526	Q9EP75	ENSMUSG00000024292
Q9BXL6	ENSG00000141527	Q99KF0	ENSMUSG00000013483
P01568	ENSG00000137080	P01572	ENSMUSG00000095498
Q9P1A6	ENSG00000198010; ENSG00000282103; ENSG00000274161; ENSG00000282318; ENSG00000282152	Q8BJ42	ENSMUSG00000047495
P35030	ENSG00000010438	Q792Z0	ENSMUSG00000071519
O15350	ENSG00000078900	Q9JJP2	ENSMUSG00000029026
Q9UGM3	ENSG00000187908	Q60997	ENSMUSG00000047517
A8MYB1	-	Q80X59	ENSMUSG00000041255
P36956	ENSG00000072310	Q9WTN3	ENSMUSG00000020538
Q9H3U1	ENSG00000140553	Q99KD5	ENSMUSG00000030533
P09210	ENSG00000244067	P30115	ENSMUSG00000025934
O95715	ENSG00000145824	Q9WUQ5	ENSMUSG00000021508
Q96M27	ENSG00000164244	Q3UPH1	ENSMUSG00000024594
Q99549	ENSG00000196199	Q3TYA6	ENSMUSG00000079184
Q9UQP3	ENSG00000120332	Q80Z71	ENSMUSG00000026725
Q9UJX5	ENSG00000053900	Q91W96	ENSMUSG00000029176
Q14940	ENSG00000135740	B2RXE2	ENSMUSG00000014786
O95620	ENSG00000284103; ENSG00000105865	Q32M08	ENSMUSG00000020648
Q86TP1	ENSG00000143363	Q8BIW1	ENSMUSG00000015711
Q14699	ENSG00000131378	Q6A0D4	ENSMUSG00000039316
Q86WZ0	ENSG00000187105	E9Q357	-
Q14011	ENSG00000099622	P60824	ENSMUSG00000045193
Q9HBE4	ENSG00000138684	Q9ES17	ENSMUSG00000027718
Q4KMG0	ENSG00000064309	Q32MD9	ENSMUSG00000038119
Q4VXA5	ENSG00000135314	Q3UWR2	ENSMUSG00000067750
Q13546	ENSG00000137275	Q60855	ENSMUSG00000021408
Q7LBE3	ENSG00000174502	Q8BU91	ENSMUSG00000042268
Q96CN4	ENSG00000142459	H3BKQ3	ENSMUSG00000011832
O94925	ENSG00000115419	D3Z7P3	ENSMUSG00000026103
O14981	ENSG00000095564	E9QAE3	ENSMUSG00000040565
Q02218	ENSG00000105953	Q60597	ENSMUSG00000020456
Q6P047	ENSG00000171060	Q80ZQ3	ENSMUSG00000021961
P85299	ENSG00000186654	Q812A5	ENSMUSG00000036106
O00458	ENSG00000006652	P19182	ENSMUSG00000001627
P61026	ENSG00000084733	P61027	ENSMUSG00000020671
P35790	ENSG00000110721	O54804	ENSMUSG00000024843
P21854	ENSG00000137101	P21855	ENSMUSG00000028459
Q13099	ENSG00000032742	Q61371	ENSMUSG00000040040
P52823	ENSG00000159167	O55183	ENSMUSG00000014813
P49005	ENSG00000106628	O35654	ENSMUSG00000020471
Q8TC57	ENSG00000159374	Q9Z0E1	ENSMUSG00000030041
Q9UIL8	ENSG00000136147	Q8BVM9	ENSMUSG00000044703
Q96ND8	ENSG00000198440	Q3V080	ENSMUSG00000030443
Q63ZE4	ENSG00000184999	B2RT89	ENSMUSG00000063590
Q14774	ENSG00000136630	Q61670	ENSMUSG00000039377
Q9C0A6	ENSG00000168137	Q5XJV7	ENSMUSG00000034269
Q8NE86	ENSG00000156026	Q3UMR5	ENSMUSG00000009647
P02766	ENSG00000118271	P07309	ENSMUSG00000061808
Q8WUB8	ENSG00000130024	Q9D8M7	ENSMUSG00000023883
A6NH52	ENSG00000166676	Q6NVH0	ENSMUSG00000050908
O43309	ENSG00000158691	Q9Z1D7	ENSMUSG00000036721
Q8NGL9	ENSG00000279514	Q8VF94	ENSMUSG00000089892
P47914	ENSG00000162244	F6YH22	-
O75838	ENSG00000136425	Q9Z309	ENSMUSG00000037493
Q8N4B1	ENSG00000198324	Q8BH49	ENSMUSG00000044134
Q69YG0	ENSG00000169964; ENSG00000280516	Q9CR22	ENSMUSG00000066233
Q8WUA7	ENSG00000054611	Q8R5A6	ENSMUSG00000051864
Q9H6D7	ENSG00000092036	Q8BFT2	ENSMUSG00000022177
Q93033	ENSG00000134256	A8E0Y8	ENSMUSG00000086564
Q6P2E9	ENSG00000038358	Q3UJB9	ENSMUSG00000036270
D6RBQ6	ENSG00000249104	G5E8I7	ENSMUSG00000058976
C9JI98	ENSG00000233493	A9JSM3	ENSMUSG00000030431
Q9Y3A4	ENSG00000189306	Q9D1C9	ENSMUSG00000018040
Q2KHT4	ENSG00000111305	Q8R1W2	ENSMUSG00000030206
Q9BZV1	ENSG00000167671	Q99PL6	ENSMUSG00000019578
P46094	ENSG00000173578	Q9R0M1	ENSMUSG00000060509
Q8NDX9	ENSG00000240433; ENSG00000241713; ENSG00000244672; ENSG00000241132; ENSG00000240053; ENSG00000239497; ENSG00000239285	Q8K1T4	ENSMUSG00000043807
O00624	ENSG00000112337	Q5SZA1	ENSMUSG00000036110
P84550	ENSG00000188779	Q8BX46	ENSMUSG00000022245
Q00536	ENSG00000102225	Q04735	ENSMUSG00000031065
P15336	ENSG00000115966	P16951	ENSMUSG00000027104
Q9UJY1	ENSG00000152137	Q9JK92	ENSMUSG00000041548
Q99442	ENSG00000008952	Q8BU14	ENSMUSG00000027706
P07738	ENSG00000172331	P15327	ENSMUSG00000038871
P01567	ENSG00000214042	P09235	ENSMUSG00000095270
Q6UXD5	ENSG00000174938	Q4V9Z5	ENSMUSG00000030683
Q9HB40	ENSG00000121064	Q920A5	ENSMUSG00000000278
Q9UNS2	ENSG00000141030	O88543	ENSMUSG00000019373
Q8N3X1	ENSG00000109920	Q6ZQ03	ENSMUSG00000008200
Q9H3P7	ENSG00000182827	Q8BMP6	ENSMUSG00000026499
P81133	ENSG00000112246	Q61045	ENSMUSG00000019913
Q6IAA8	ENSG00000149357	Q9CQ22	ENSMUSG00000030842
P51811	ENSG00000047597	Q9QXY7	ENSMUSG00000015342
Q9BUT9	ENSG00000172366	Q9CQB2	ENSMUSG00000025732
Q13621	ENSG00000074803	P55014	ENSMUSG00000027202
Q86WT1	ENSG00000197557	Q99J38	ENSMUSG00000075271
Q96LK8	ENSG00000184361	Q8C5V0	ENSMUSG00000044787
Q9HC21	ENSG00000125454	Q9DAM5	ENSMUSG00000020744
Q92622	ENSG00000145016	Q80U62	ENSMUSG00000035629
Q9BSM1	ENSG00000115289	Q8R023	ENSMUSG00000069678
P50607	ENSG00000166402	P50586	ENSMUSG00000031028
Q9BXW6	ENSG00000141447	Q91XL9	ENSMUSG00000044252
Q7Z4L9	ENSG00000178125	Q8R1Z4	ENSMUSG00000025916
Q96J65	ENSG00000140798	Q80WJ6	ENSMUSG00000036872
Q9H4G0	ENSG00000088367	Q9Z2H5	ENSMUSG00000027624
P04632	ENSG00000126247	O88456	ENSMUSG00000001794
P30039	ENSG00000108187	Q9DCG6	ENSMUSG00000112129
O95084	ENSG00000150687	Q9D6X6	ENSMUSG00000039405
Q99645	ENSG00000083782	P70186	ENSMUSG00000019936
P0DJI9	ENSG00000134339	P05367	ENSMUSG00000057465
P01566	ENSG00000186803	Q61716	ENSMUSG00000100549
O15151	ENSG00000198625	O35618	ENSMUSG00000054387
H3BVH4	-	Q9CXH3	ENSMUSG00000063364
Q14114	ENSG00000157193	Q924X6	ENSMUSG00000028613
P00505	ENSG00000125166	P05202	ENSMUSG00000031672
B2RNG4	ENSG00000258588	Q99PP6	ENSMUSG00000056144
O76095	ENSG00000143543	O88824	ENSMUSG00000027937
Q7Z5Q1	ENSG00000283087; ENSG00000137449	Q812E0	ENSMUSG00000039782
Q04695	ENSG00000128422	Q9QWL7	ENSMUSG00000035557
Q9Y2Y9	ENSG00000169926; ENSG00000275746	Q9JJZ6	ENSMUSG00000052040
Q8TEK3	ENSG00000104885	Q6XZL8	ENSMUSG00000061589
Q9Y258	ENSG00000006606	F8VQM2	ENSMUSG00000070464
Q96NY9	ENSG00000172732	Q91ZJ0	ENSMUSG00000024906
Q9H3L0	ENSG00000168288	Q99LS1	ENSMUSG00000026766
Q96QP1	ENSG00000073331	Q9CXB8	ENSMUSG00000028028
P22352	ENSG00000211445	P46412	ENSMUSG00000018339
O14654	ENSG00000133124	Q9Z0Y7	ENSMUSG00000054667
P17174	ENSG00000120053	P05201	ENSMUSG00000025190
Q9GZN4	ENSG00000282937; ENSG00000005001	Q9ER10	ENSMUSG00000045027
Q6P4F1	ENSG00000172728	Q5F2L2	ENSMUSG00000046152
Q15102	ENSG00000079462	Q61205	ENSMUSG00000005447
Q3ZAQ7	ENSG00000160131	E9PUE9	-
Q86V42	ENSG00000150510	D3Z5V4	ENSMUSG00000035184
O15455	ENSG00000164342	Q99MB1	ENSMUSG00000031639
O60291	ENSG00000102858	Q9D074	ENSMUSG00000022517
Q8NGY0	ENSG00000279111	F8VQB1	ENSMUSG00000066672
Q9NQ55	ENSG00000243207; ENSG00000130810	Q91YU8	ENSMUSG00000004100
Q2TAZ0	ENSG00000110046	Q6P4T0	ENSMUSG00000024773; ENSMUSG00000106907
Q9NX45	ENSG00000120669; ENSG00000250709	Q9D489	ENSMUSG00000027794
Q8N5D0	ENSG00000142784	Q80ZK9	ENSMUSG00000037622
Q9ULV0	ENSG00000167306	P21271	ENSMUSG00000025885
P51797	ENSG00000011021	O35454	ENSMUSG00000029016
O60237	ENSG00000077157	Q8BG95	ENSMUSG00000073557
Q9UIH9	ENSG00000163884	Q9EPW2	ENSMUSG00000030087
Q6X9E4	ENSG00000164049	F7C9P2	-
Q6PJT7	ENSG00000100722	Q8BJ05	ENSMUSG00000021012
Q9HAT8	ENSG00000139946	Q8BST6	ENSMUSG00000021846
Q8NHY3	ENSG00000270765	Q5SSG4	ENSMUSG00000020686
Q9C0J1	ENSG00000176383	Q1RLK6	ENSMUSG00000029431
Q8TAE7	ENSG00000171126	P59053	ENSMUSG00000045053
Q9Y6P5	ENSG00000080546	P58006	ENSMUSG00000038332
Q6IQ16	ENSG00000144228	Q2M2N2	ENSMUSG00000026771
P07196	ENSG00000277586	P08551	ENSMUSG00000022055
Q99963	ENSG00000140600	Q62421	ENSMUSG00000030638
P42785	ENSG00000137509	Q7TMR0	ENSMUSG00000061119
P60410	ENSG00000187766	L7N2C3	ENSMUSG00000095593
O95076	ENSG00000156150	O70137	ENSMUSG00000014603
P04062	ENSG00000177628; ENSG00000262446	P17439	ENSMUSG00000028048
Q8NFX7	ENSG00000168952	Q8R3T5	ENSMUSG00000046314
Q9BRJ2	ENSG00000278845; ENSG00000277936	Q9D0Q7	ENSMUSG00000018882
Q86UB2	ENSG00000134897	Q8CBX9	ENSMUSG00000041684
P0CE71	ENSG00000135175	P51879	ENSMUSG00000029618
O75712	ENSG00000188910	P28231	ENSMUSG00000042367
P31213	ENSG00000277893	Q99N99	ENSMUSG00000038541
Q9GZT6	ENSG00000137500	Q8C3X2	ENSMUSG00000030613
Q86VB7	ENSG00000177575	Q2VLH6	ENSMUSG00000008845
O75093	ENSG00000187122	Q80TR4	ENSMUSG00000025020
Q8NDX6	ENSG00000139651	Q6NZQ6	ENSMUSG00000046897
Q96S90	ENSG00000163155	Q9D0E3	ENSMUSG00000053769
Q8IV38	ENSG00000106524	Q3TPE9	ENSMUSG00000036188
P53805	ENSG00000159200	Q9JHG6	ENSMUSG00000022951
Q5T686	ENSG00000119986	Q9D7H4	ENSMUSG00000018821
Q8N4W6	ENSG00000178401	Q8CHS2	ENSMUSG00000038009
P09917	ENSG00000275565; ENSG00000012779	P48999	ENSMUSG00000025701
Q9GZK4	ENSG00000206471; ENSG00000229408; ENSG00000206516; ENSG00000229125; ENSG00000232984; ENSG00000204688; ENSG00000235132; ENSG00000224395	Q7TRL3	ENSMUSG00000095377
Q96GV9	ENSG00000181751	Q8VEB3	ENSMUSG00000044768
Q01105	ENSG00000119335	Q9EQU5	ENSMUSG00000054766
Q7Z745	ENSG00000171495	Q7M6Y6	ENSMUSG00000022155
Q7Z7J7	ENSG00000156959	Q5U4E0	ENSMUSG00000042873
Q15617	ENSG00000197849	P34983	ENSMUSG00000096109
P98095	ENSG00000163520	P37889	ENSMUSG00000064080
P16260	ENSG00000122912	Q8C0K5	ENSMUSG00000071253
O60320	ENSG00000104059; ENSG00000273564	Q6A044	ENSMUSG00000030518
P42766	ENSG00000136942	Q6ZWV7	ENSMUSG00000062997
P28347	ENSG00000187079	P30051	ENSMUSG00000055320
Q8NHM4	-	Q792Z0	ENSMUSG00000071519
O43567	ENSG00000082996	O54965	ENSMUSG00000036503
Q8IYJ0	ENSG00000139200	Q6P1B3	ENSMUSG00000030329
Q9H2M9	ENSG00000118873	Q8BMG7	ENSMUSG00000039318
Q96ES6	ENSG00000167700	Q5U419	ENSMUSG00000019080
Q8N699	ENSG00000120279	Q8R411	ENSMUSG00000046916
Q9BWD1	ENSG00000120437	Q8CAY6	ENSMUSG00000023832
Q9ULC0	ENSG00000164035	Q9R0H2	ENSMUSG00000054690
Q15434	ENSG00000076067	Q8VC70	ENSMUSG00000040043
Q53GL7	ENSG00000178685	Q8CIE4	ENSMUSG00000063268
P56470	ENSG00000171747; ENSG00000282992	O54891	-
O15269	ENSG00000090054	O35704	ENSMUSG00000021468
P31152	ENSG00000141639; ENSG00000282110	Q6P5G0	ENSMUSG00000024558
Q9BVS4	ENSG00000058729	Q9CQS5	ENSMUSG00000023852
Q8N1S5	ENSG00000282291; ENSG00000133195	Q8BWY7	ENSMUSG00000041654
Q5TCZ1	ENSG00000107957	O89032	ENSMUSG00000053617
Q96L42	ENSG00000183960	P59111	ENSMUSG00000035580
P42330	ENSG00000196139	Q8VC77	ENSMUSG00000054757
O60669	ENSG00000118596	O70451	ENSMUSG00000020102
P55198	ENSG00000275851; ENSG00000275023	B1AR10	ENSMUSG00000038437
Q9UPA5	ENSG00000164061	O88737	ENSMUSG00000032589
Q3V5L5	ENSG00000167889	Q765H6	ENSMUSG00000043857
Q8N554	ENSG00000158805	Q8CE64	ENSMUSG00000001065
P55789	ENSG00000127554	P56213	ENSMUSG00000040888
Q7Z2W7	ENSG00000144481	Q8R4D5	ENSMUSG00000036251
Q569G3	ENSG00000185056	Q24JP4	ENSMUSG00000020299
P31153	ENSG00000168906	Q3THS6	ENSMUSG00000053907; ENSMUSG00000104463
Q9Y3C4	ENSG00000144034	Q8QZZ7	ENSMUSG00000054226
Q8TDD2	ENSG00000170374	Q8VI67	ENSMUSG00000060284
P02745	ENSG00000173372	P98086	ENSMUSG00000036887
Q9P2G1	ENSG00000001629	Q6ZPS6	ENSMUSG00000040351
Q9UBC2	ENSG00000127527	Q60902	ENSMUSG00000006276
A6NNM3	ENSG00000274600	Q3V0F0	ENSMUSG00000071636
Q9H2I8	ENSG00000148655	Q9D9B4	ENSMUSG00000063458
Q86T13	ENSG00000176435	Q8VCP9	ENSMUSG00000045930
Q8WZ92	ENSG00000276025; ENSG00000280931; ENSG00000183303	Q8VFD1	ENSMUSG00000109497
Q9Y2G7	ENSG00000120784	Q60585	ENSMUSG00000047473
O00541	ENSG00000100029	Q9EQ61	ENSMUSG00000020430
P67812	ENSG00000140612	Q9R0P6	ENSMUSG00000025724
Q7Z3Y9	ENSG00000186393	Q3TRJ4	ENSMUSG00000075570
Q68CZ6	ENSG00000214367	Q8QZX2	ENSMUSG00000079555
P14207	ENSG00000165457	Q05685	ENSMUSG00000032725
Q9BQ83	ENSG00000132207; ENSG00000181625	Q8BX32	ENSMUSG00000059772
P03956	ENSG00000196611	Q9EPL6	ENSMUSG00000041620
Q86SP6	ENSG00000174948	Q3UVY1	ENSMUSG00000043441
P62993	ENSG00000177885	Q60631	ENSMUSG00000059923
A0PK05	ENSG00000187783	Q8C3K5	ENSMUSG00000048108
Q9Y5Q6	ENSG00000172410	Q9WUG6	ENSMUSG00000066090
P06729	ENSG00000116824	P08920	ENSMUSG00000027863
A6NNS2	ENSG00000184544	Q8CHS7	ENSMUSG00000033044
Q969Z3	ENSG00000117791	Q922Q1	ENSMUSG00000073481
Q9BYR9	ENSG00000262862; ENSG00000212724; ENSG00000263091; ENSG00000213417	A0PK51	ENSMUSG00000062278
Q6NUS6	ENSG00000119977	Q8R2Q6	ENSMUSG00000025008
Q96NN9	ENSG00000183773	Q3TY86	ENSMUSG00000022763
Q8IWA5	ENSG00000129353	Q8BY89	ENSMUSG00000057193
Q9BVX2	ENSG00000134291	Q80VP8	ENSMUSG00000052369
Q9BYQ6	ENSG00000212721; ENSG00000263229	A2A4L9	ENSMUSG00000078258
Q15643	ENSG00000100815	E9Q512	ENSMUSG00000021188
Q9Y6W8	ENSG00000163600	Q9WVS0	ENSMUSG00000026009
A6NMK8	ENSG00000204767	Q6GQV1	ENSMUSG00000069911
Q66K74	ENSG00000130479	Q8C052	ENSMUSG00000019261
P05013	ENSG00000120235	P07349	ENSMUSG00000096682
Q96LB3	ENSG00000096872	Q8BKE9	ENSMUSG00000028576
Q15743	ENSG00000119714	Q8BFQ3	ENSMUSG00000047415
Q6PGP7	ENSG00000198677	F8VPK0	ENSMUSG00000033991
P49454	ENSG00000117724	E9Q3P4	ENSMUSG00000026605
Q9HCK1	ENSG00000283649; ENSG00000204186	Q5SS00	ENSMUSG00000027520
A6NFU8	ENSG00000183571	Q9CWB5	ENSMUSG00000030553
Q92985	ENSG00000185507; ENSG00000276561	P70434	ENSMUSG00000025498
P19544	ENSG00000184937	P22561	ENSMUSG00000016458
Q95604	ENSG00000233841; ENSG00000206435; ENSG00000228299; ENSG00000206452; ENSG00000237022; ENSG00000225691; ENSG00000204525	P01901	ENSMUSG00000061232
Q6PL24	ENSG00000100580	Q3UHI4	ENSMUSG00000034111
Q9HCT0	ENSG00000070388	Q9ESS2	ENSMUSG00000020327
Q8N0Z9	ENSG00000176834	D3YX43	ENSMUSG00000066894
P98168	ENSG00000198205	A2CE44	ENSMUSG00000073062
Q9HD34	ENSG00000214113	Q8K215	ENSMUSG00000046573
Q14814	ENSG00000116604	Q63943	ENSMUSG00000001419
Q8TAT6	ENSG00000182446	P60670	ENSMUSG00000039703
P61952	ENSG00000127920	P61953	ENSMUSG00000032766
Q5T7N3	ENSG00000132854	Q6P9J5	ENSMUSG00000035407
P07332	ENSG00000182511	P16879	ENSMUSG00000053158
Q8TDU5	-	G5E8I3	ENSMUSG00000064259
Q01523	ENSG00000164816	P28310	ENSMUSG00000074440; ENSMUSG00000060208
Q4LE39	ENSG00000054267	A2CG63	ENSMUSG00000039219
Q96DM3	ENSG00000141452	Q8VC42	ENSMUSG00000024410
Q14591	-	P15620	ENSMUSG00000063281
O43315	ENSG00000103569	Q9JJJ3	ENSMUSG00000032204
Q8IZA3	ENSG00000178804	Q8VIK3	ENSMUSG00000042279
Q9UHV9	ENSG00000143256	O70591	ENSMUSG00000006412
Q75V66	ENSG00000171714	Q75UR0	ENSMUSG00000055489
Q9NVP1	ENSG00000088205	Q8K363	ENSMUSG00000001674
O43156	ENSG00000101407	Q91V83	ENSMUSG00000027650
Q9BZY9	ENSG00000233573; ENSG00000224168; ENSG00000137397; ENSG00000226402; ENSG00000225130; ENSG00000204616; ENSG00000224542; ENSG00000223531	Q8R0K2	ENSMUSG00000058063
A2A368	ENSG00000189023	Q9CWV4	ENSMUSG00000046942
Q2M2E3	ENSG00000184650	Q8VI88	ENSMUSG00000032921
Q8NGG6	ENSG00000170953	Q7TRE5	ENSMUSG00000058628
Q9GZN2	ENSG00000118707	J3QPS0	-
Q96NT3	ENSG00000138867	Q8BZI6	ENSMUSG00000033416
